Unnamed: 0,Name,Rating,Review
10,Amazon Customer,1," k sony far better , also return policy worst.tried return time accepted return worst product bose"
11,Pranav A.,1,"buying pair stopped working exactly  days . ’ switch on.tried amazon replacement strict  days policy made exceptions even providing defect certificate bose service center.bose took time send replacement.before also bose qc which stopped working due faulty charging guess this.the products sensitive indian electrical conditions feel.take care buying.after warranty repaired . taken back  % voucher mrp new one given , even ’ minor fault ."
12,Neelabh,1,"poor service quality . buy product.my headphones microphone stopped working february' 's  months still rd party replacement.do n't buy product , sales service horrible !"
13,Daidiptya Maini,1,"headphone stopped working within month purchase india model headphone bought europe  years back still working.even look pieces , u realize product sold india substandard-biggest mistake never buy bose india… days chasing company calls n mails-no response…but risk"
14,Aditya pal,1,received dead bose headphone even turning u see video nither amazon providing replacement
15,vivek,1,"purchased returned since anc joke nothing , could hear everything . sound quality flat . even support microsoft teams ."
16,Naseer Mohammed,1,already owned qc headset & using since close  years . never faced quality degradation qc quality issues like buzzing since day . ’ return bz . ’ buy
17,devender,1,worst product ever manufactured bose . bought returned bought xm . bad ’ even consider get free .
18,Pawandeep S.,1,model defective raised return request solution .
19,Janice ,1,"nothing great , pretty average"
20,,1,"update // : ordered second pair amazon ( shipped sold directly ) advertising new headphones sending used ones instead . best buy price . able tell used unsealed packaging , battery level  % , welcome message turning headphones : `` connecting katy 's iphone '' .original headline : perfect , best wireless anc headphones could findtakeawaythere 's still lot room improvement headphones , able wear hours minimal discomfort makes far useful headphones painful wear . presently option 've able find market wear relatively comfortably , 'm keeping . large ears , headphones . way , found qcs comfortable previous qc ii model tried store.comforti spent long time trying find true circumaural wireless anc headphones up-to- $  range tried number pairs , including bose qc ii headphones . bose qc headphones n't completely circumaural , deeper ear cups allow ears fold far less discomfort headphones 've tried . bose care enough comfort put product name deliver pretty well . improvement 'd make fit slightly larger openings ear pads true circumaural fit.active noise cancellation ( anc ) first pair anc headphones anc wowed . dome silence incredible `` quiet '' mode . anc drowns lot background noise , especially voices another room . voices/tv/radio room n't good , still better nothing . road noise car considerably reduced . airplane background noise still audible , significantly reduced , except crackle pop loudly   seconds take-off landing . think 's much anc keep . wish way turn anc altogether ( preserve battery life , instance ) , 's possible wired mode . `` aware '' mode seems useful listening music , seems amplify outside sounds obnoxiously . reason , would nice turning `` aware '' mode automatically paused music resumed switching back `` quiet '' mode.sound qualityi n't blown away sound quality . certainly better old $  pair wireless headphones , sound n't full rich would expect bose . came bit tinny times , especially listening harder rock music . tad bass would appreciated . able set least treble bass would better yet . also lack support aptx codec.batterythe battery life good , would n't call great . -minute fast-charging feature like master & dynamic mws would awesome . standard usb-c port charging nice , though , n't bring special cable adapter travel . prevalence usb ports planes helpful , annoyingly , ca n't charge headphones listen time.designthe design pretty boring , serviceable . hinges make comfortable fold compact make headphones feel bit flimsy hand , build quality feels good place head , light enough wear hours time minimal discomfort ( due ear cups quite large enough ) . carrying case great fact included makes value headphones even better ."
21,,1,"respect audio , bose qc  headphones seem pretty good . -stars view.oi quietcomfort  headphones - years - near perfect use case . best money ever spent.with new pair bose qc  headphones , ( bought / ) , charge lasts maybe - hrs max , often less . excuse flagship product . seems defect ( specs imply full day night usage charge ) . bose finally got rid micro usb connector charge experience presented withoh , overall problem get worse ? , oh yes , design . read on.if want use headphones charging , oh , product designers decided change behavior ( contrast qc  ) . listen headphones charging headphones . dumb , dumb , dumb , dumb , duuuuumb.here 's night new bose qc  headphones : go bed around pmfor reason charge low ( annoying voice message blathering every  minutes ) , even though headphones charged day w chargeri charge qc  's -minutes good amount readingi finally went sleep am - fine night , right ? umm , nopeat am , wake annoying voice message telling charge low - coincidentally wife snoring away sleeping happily old qc  pair headphonesi plug nice long tb cable charge qc  's listen - oh , things gets worsewhile hoping finally use qc  's , hear nothing , audible message turn headphones , chargingnow wide awake ( quite annoyed , thanks bose ) decided readinggreat , discover behavior bose , design - state openly ( use headphone charging ) start amazon return process ( best part process ! ! ! ) vow start reading one main competitor qc  headphones - must actually used more-experienced product designers bose , right ? ( see ) ponder end , need try get rock solid bose qc  headphones back wife - gon na really rough ! question , pestering : many companies allowing stupid product decisions made rather letting experienced engineers involved product design process - experienced , really build right stuff dummies get way . dumving-down product design lately . blame ..."
23,,1,"bought headphones recommendation client . find excellent uses related iphone , listening streaming music , radio broadcasts podcasts -- sound great , noise-canceling feature works well . n't work advertised * main * reason bought -- pairing laptop use zoom teams calls . occasionally , able pair laptop , even 's problem time -- hear others saying perfecting fine , microphone function disabled one hear . 've tried calling bose customer support help , try things obvious things , like turning headphones , turning bluetooth laptop , rebooting laptop -- none helps . twice , spending better part hour phone , 'll try blame problem microsoft dell ( laptop 's manufacturer ) . fwiw , tried reaching microsoft customer support , said n't `` support '' bose quietcomfort  , n't helpful either . end day , companies , effect , telling ca n't wo n't help , go away . 'd known would much difficulty product , never would bought ."
24,,1,"picked steep sale- noise cancelling job well . small human house 'm able block vast majority noises come living toddler . 're pretty comfortable , battery life decent , sound quality good.however , 's lit reasons think spring extra $  buy different brand : -you download dedicated app headphones work , 's great app . crashes time 's functionality extremely limited.-you ca n't set devices auto connect ones n't , always prefer mobile device , gives warnings try disconnect phone.-the device connect two devices time , fairly standard , however connect two devices audio skips like scratched cd played car driving bumpy road - work around disconnection one two devices . tried everything , nothing works.-certain devices work well , period , user end 's impossible tell why.-you use headphones charge.-this middling concern , placement mode button 'm naturally inclined grab take off/put headphones . 's great placement.-there turning noise cancelling . use headphones without kind noise mitigation , 's pretty dumb . aware mode let lot general sound , distorts noises generally makes everything sound like weird chamber . able turn noise canceling entirely still use music calls whatever . , baffling.at end day job , price point really come better streamlined features.edited add : another weeks , 're totally fritz . often drop reason , unable connect reason , static poor call quality gotten worse. month update : continue struggle consistently skipping dropping sound temporarily discernable reason , even connected one device . watching video listening music sound routinely cuts  -  seconds . dropping review one star. month update : static issues markedly worsening . often turn head phones again/reconnecting resolve static/interference . say physical product pretty good - 've used almost every since day last  months 're still really good shape , signs wear tear hardware . static connectivity issues ( annoying . )"
25,,1,"edit  : n't function anymore . bluetooth connect wirelessly , matter plug wire 's longer working . sadly yet another incredibly expensive set headphones lackluster longevity.edit : unfortunately reduce rating . months bluetooth connection longer works . able move around chores important factor loved . still recommended people big head ears , well people n't mind using cable.summary : extremely comfortable / good bass may fall little short bass heads / good noise cancellation / short cablesi used hate wear headphones , always gave headache ear pains . 'd put one wanted provide quiet space partner become necessary , finally looked headphones better suited big heads ears . qc  ii first one came across top lists ,  hefty sale * * according customers ' measurements ,  even bigger internal space ears  ( . '' width x . '' height , vs.  '' width x  '' height respectively ) . n't know comparisons true , ears definitely fit perfectly  ! 's also first time ever extend headband much could even empty space head wanted , pressure top head either ! comfort aside : prior , skullcandy sound quality difference taking time get used . bass n't weak per se , 'd say 's good , want deeply thumping bass , might fall little short . also n't sound crisp skullcandy , quality still extremely good . noise cancellation awareness mode easy switch , good functions . charging audio cables ridiculously short , charger universal one charge phone 's charger well . n't know audio cable supplemented elsewhere , need , definitely recommend length . pc bluetooth n't need it.all , minor shortcomings headphones may completely trumped incredibly comfortable , first time 'm happy wear headphones . anything changes quality ( ear pads coming , battery dying fast ) , 'll try remember update review ."
26,,1,"noise cancellation works fine , absolutely believe anyone recommends things trying get set up.if want use headphones active noise cancellation 're paying $  , connect garbage app lies face second enable . things product encrapification everything use , one worst offenders encrapification things life.right bat , laughably short included cables ( hope 're ft tall want use included .mm cable something pocket ) , even shorter charging cable . play charging , even cable capable . power first time annoys get app disables functionality get app connect least once.why annoy hell customer right gate ? well , 'm glad asked . see , 's scheme steal location data , advertisers spy serve ads . attempt pair device bluetooth demands access location data . connecting bluetooth never ever required location data phone , never . bose lying face gain . 'm mad , surprised , google presumably apple well , allow app store . executives product designers behind implementing prompt ( may actually illegal request unnecessary location data due inability refuse giving still continue using $  headphones ) , barred ever control anything significant ever lives 're obviously hazard well-being peers given sort influence.and bose rep , respond saying need find device , save lying someone n't understand tech.i 've never encountered something maddeningly stupid piece tech , given opportunity 'd advise anyone never touch another bose product long live . sure hell never . 'd return instantly knew amazon would n't throw landfill instead selling refurbished ."
27,,1,"things liked - actually pretty comfortable ears . - noise cancellation really good . - easily connected via bluetooth two devices ( e.g . phone laptop ) .things disliked - even though sound quality overall nice , depth really missing . especially listening edm techno , bass seems almost completely missing . also using eq bose music app boost bass n't help much . - usb-c usb cable comes headphones really short (  cm ) . usb-c charging cables tried fit charging port loosely easily slip , makes charging pain . - headphones used charged . - battery holds nowhere near ``  hours '' . even charging night delivered charging cable , holds maybe   hours . also headphones n't seem energy-saving standby mode , i.e . turned sound playing , use battery would playing something , annoying accidentally forgetting turn . - phone calls using headphones ' built-in microphone , friends reported voice regularly dropping becoming really quiet , something wrong built-in microphone . tried normal phone call , well voip via whatsapp facebook messenger.overall , over-ear headphones half price n't flaws , return one ."
28,,1,"expected equal better audio performance bose qc  , new anc audio quality blatantly poor . tweak audio experience bose music app , save eq settings bluetooth mode . using headphones wired , downright bad experience enable anc wired mode , volume drops  % apparent reason . futhermore bose music app literal joke , change nearly nothing constantly asks , want create bose account . like privacy would n't recommend , installing bose apps , collect approx .  trackers per day per app ( mostly segment.io urban airship frameworks ) .trackers collect apps include : - os version- device model- gps coordinates- unique device identifier- timezone- app version- state- country- device brand- app name- postal code- local ip address- city- screen density- device language- android advertising id- network carrier- network connection type- os build number- device model- email address"
29,,1,"bought returned headphones finding borderline unusable . wired bose qcs like fine . job act like headphones . figured qcs would , improvements . instead , qcs , audio less delivers , pathological product features deviate might intuitively expect headphones . every potential buyer know : (  ) ca n't charge using ( acceptable  ! ) (  ) lose charge using ( swear , possible controls mislead time , power indicator light switch right position ) (  ) real way use passive mode ( options either noise cancelling piped-in outside sounds n't power , ca n't use headphones ) (  ) use wired sound source , volume lowered virtually audible turn back * every time * .so imagine charging  days , taking case beginning long flight , finding dead . ok , least wired sound work ... nope . ok trickle charge via plane 's flaky usb port half hour use wired low charge . neighbor needs get , unplug cord let pass , plug back , switched phone 's bluetooth wont go back wired . turn headphones back plugged re-establish wired connection . oh ! sound . battery dead ? , plugged audio cable , volume level reset inaudible.a lot people seem like headphones , product design decisions crazy . wireless headphones work , including backstop features wired ones provide . n't even know check whether could carry wired sound noise cancelling whether could charge use . totally obvious things , especially price ."
30,,1,"disappointed headphones return day purchase , ca n't afford gift away family member , n't suitable needs . thought going revolutionise noise sensitivity , instead made worse.pros : comfortable even glasses , lovely lightweight , look trendy place worn , cup ears perfectly , really feel like could wear hours . excited first put on.cons : personally found walking around incredibly nauseating made feel dizzy . 've worn anc headphones past , strong option reduce anc.difficult pair bluetooth devices- bose app useless took forever find headphones even though right next phone , need go faff making bose account use headphones . confidence app whatsoever . headphones also dropped bluetooth signal regularly , interrupting music.there audible background hiss , incredibly distracting painful listen . 's absolutely unbearable aware mode 's could hear . however , 's also still audible quiet mode , meaning turn music compensate . even music full blast , background hiss audible throughout quieter parts music , really affects sound quality . purchased headphones remove noise environment , add unbearable background hiss.you ca n't adjust anc , 's either nothing ( aware mode ) full blown ( quiet mode ) , much . needs modes , option listen without anc too.the wind noise absolutely terrible , ca n't use outside british weather unless want deafened.honestly , £ top range headphones top brand marketed `` quiet '' , n't going fly , really disappointing . thought giving  stars comfort , 's point able wear pair £ headphones ca n't switch ?"
31,,1,"bose qc perfectly good , problem old micro-usb connector . new qc way worse - especially software . problem bose noise cancellation ca n't hear anything 's windy . way turn noise cancellation medium 's windy turn off.for reason feature completely removed qc . outside - wo n't able use headphones . wo n't able talk phone , wo n't able listen music . ca n't turn noise cancellation app buttons . turn aware mode equally bad 's windy.the noise cancellation problems wind known everyone ages . fixed well bose qc . downgrade literally use bose qc outside . 's return mine switch back bose qc . wish updated charging port usb-c.handling multiple devices ( connecting , choosing sound source , etc ) implemented worse qc . buggy annoying use.the product owner bose software must fired . disaster ."
33,,1,"'m using older phone , date android os . matter , could n't properly connect qc  `` bose music '' app . would n't let use `` bose connect '' app use qc . `` connected '' bluetooth phone laptop , since app would n't connect , configuration ability ( turn adjust level noise cancelling ) .deleted app clearing data . deleted previous app . restarted phone . troubleshooting know ( long time technical person trade hobby ) . self serve support non-existent behind annoying login prompts . plus , n't go support . bose product requires support box , 's level experience paid ( certainly n't experience qc s bought  ) . effectively made worthless me.my qc  served well  years ( still working fine - thinking better upgrade forced ) . guess 'll keep pushing luck . guess last bose purchase . returned qc  refund . 'll research next time rather practicing blind brand loyalty ."
34,,1,"second pair  's tried . second pair immediately returning . dumb anc plays back sounds clicks lid dishes clanking instead cancelling . whatever reason , sound picked anc played back `` full volume . '' 'll listening podcast dishes sound someone clanking glasses together right next ear . 's high frequency noises pose problem . sounds , talking , anc handles great.i almost started think `` problem . '' luckily still bose qc ii ( pictured next  's ) . headphones n't problem . normal things without sounds whatever 'm played back uncomfortable volume.that leads two theories . firstly , n't respect intelligence  star reviews already significant hearing loss and/or n't know protect hearing . ! , likely option according . bose apple really making anc worse n't paying patents good anc , whatever . get . 's inferior anc compared last product bought.well , let 's go three theories set false dichotomy : maybe amazon bad batch manufacturer lot inferior anc mics , got unlucky.they comfortable  's though . ca n't tell difference chores . really want love . updating firmware n't help . : rolling_on_the_floor_laughing : also , sony xm 's n't problem . new sennheiser 's n't problem . disheartening ..."
35,,1,"diehard bose aviation headset user better part  years , decided invest pair standalone headsets flights 'm flying passenger . purchased bose qc- since equally priced qc-ii , qc-s getting high review ratings , get new technology ! -- -- returned qc-s  days use ,  hours flight time ! replaced sony wh-xm , look back ! pair qc-s , qc-ii , n't retire qc-s , disappointed.pros:. good noise cancelling , however found frequently `` clear '' ear using qc-s anc . 've never experienced wearing bose-x , bose a- aviation headsets , sony wh-xm. . customizable multifunction button. . actual buttons headset control vol +/- , play/pause music , answer/end phone calls. . usb-c charging portcons:. zero bass , accompanied flat tinny audio . great podcasts audiobook , crime listen vibrant music . came surprise disappointment since bose aviation headset models provide bass rich immersive audio listening experience. . feedback users phone calls voice sounds tinny , robotic , background droned voice . one person asked `` keep crumpling tin foil near phone 's microphone ? '' comparison , switched using phone environment reported immediate improvement call quality. . cluster  buttons control media call functions feel , constantly touch slide thumb forward backward make sure selecting correct button.overall , qc-s get  star , noise cancelling feature average ."
36,,1,"occasionally used headphones started noticing use charging even next day . thought maybe forgot turn . , next time , scenario repeated : could use headphones need charge again.so , contacted amazon .  days receiving package . visited amazon support page said - free support  days . happy - still want help !  . first support person tried help technically : found reset headphones . started charging promised call back two days see problem resolved.i fully charged headphones started working day . turned off. . next day , turned headphones work : charge . , contacted support chat . amazon said contacted bose get replacement free charge . directly amazon bose . wrote would get replacement  days . nice support !  . day later , first support person called back verify problem resolved . told replacement ordered thanked second support person help. .  days later , n't get anything . contacted amazon support . reviewed chats said second person `` provided false information '' . nothing ordered replacement . order replacement . contact bose directly . support person even n't apologized `` lie '' ( false information ) second person . asked manager . manager except added apology - apology help . still apology false information wasting tons time ."
37,,1,"loved headphones initially purchased . thought noise cancellation worked great good sound quality .  months moderate use stopped turning . charged hours still would turn . tried reset headphones turned tries left ear worked . switched try , would turn . upgraded firmware headphones bose advanced site still work . within warranty option exchanging new pair would pay $ .i sony headphones , lasted years wear tear ear foam . recommend bose never buy ."
38,,1,"bought september , 's november , used two times , charged upcoming flight  hours wo n't turn anymore . waste money . sound quality good , noise cancelling average two times used , need contact support get replaced .."
39,,1,"good : - active noise cancelling nicethe bad : - windows  sometimes connect headset mode times headphones mode . headset mode get mono audio , stereo- use usb play audio , usb charging . price point got joke bose . want feature need spend another $  ultra 's . laughable pricing.- voice assistant wo n't stop talking first turn . likes repeat . `` connecting ... connecting ...... connected .. connecting '' .- initial - second delay first connecting device.- .-.mm cable short include microphone.at price point headphones much feature rich ."
40,,1,"love look feel headphones . noise cancellation great wanted . unfortunately issue losing bluetooth connection intermittently  macbook air . sounded skipping periodically second every time listened anything connected bluetooth . n't know causing issue , something could n't ignore matter hard tried . headphones worked well iphone using bluetooth problem brands earphones staying connected macbook bluetooth . read response viewer replying youtube video called , `` bose qc  issues '' person exact issue headphones staying connected macbook . honestly , hate send back . really loved . connect app annoying , headphones exactly want n't know exchanging would 've helped . nothing wrong macbook computer bluetooth device connection . sent earphones ups back amazon today hope problem getting refund . sad could n't get work right macbook . tried whole month could n't fix issue . could get pair would work macbook , would buy without hesitation ."
41,,1,"regret buying headphones trusting bose brand . kept updated use bose apps ( two different apps ) . use headphones iphone macbook pro , also updated . 've tried re-pairing multiple times , . nothing solves drop outs.these headphones consistently frequently drop break . n't matter video conference call work , watching youtube videos , listening music : drop time . point use work calls regular phone calls.simple things like fit , finish style fine . sound quality `` good '' hard make judgment drop glitch time . terrible , terrible , terrible listening experience . regret buying , regret making decision return sooner , never buy another bose product again.save money , buy something else actually works ."
42,,1,"product worked well lasted . within little less  year headphones longer turn . sudden precursor , bumps , anything would precipitate damage headset . 'd suggest others look elsewhere invest product lasts.a product level cost n't completely fail warranty less year.i updated firmware tried factory reset , nothing worked . headphones suddenly wo n't turn . headphones n't bumped , n't exercised , spills - 's reason malfunctioning shortly ordering . bose 's solution : pay $  replacementtoo expensive consider replacing every year ."
44,,1,"used huge bose fan , purchasing qc  , changed mind . phone laptop connectivity issues making whatsapp calls ; says connected , sound coming . last thing expected hear support representative tell would first return headphone wait - business days replacement . essential work , days without headphone ? customer service worst ever experienced . rather forcing people keep defective product due delays , let keep replacement received , send back defective one good company would ."
45,,1,"update :  months occasional use careful handling/storage , longer work . like , ! charge ’ turn ! read online apparently lot people malfunction . expensive paperweight battery charge turn even plugged power used ! save headache go buy something else.original review : bought replace much loved sony mdr-x served us well since . ,  solid years use , side band cracked . , since ’ make model anymore , gave bose qc try . supposed tops noise cancelling ? ? bottom line , ’ shut ambient noise much . , fail important feature us longer watch different shows shut sound snoring nearby late watching insomniac tv programming.now searching replacement parts sony…"
47,,1,"used regularly video editing , gaming , watching films , made sure take extra good care . however six months , 've started issues connected bluetooth , audio cut intermittently . n't seem problem wired mode far . expensive pair headphones half functionality gone faulty , ca n't return return window expired . happy ."
48,,1," months enjoyed quality sound using minimally . one day still hard case provided bose fell hinge right earcup broke , rendering unusable . thought still warranty would able get serviced , replacement even refurbished unit , informed bose customer service would pay $  replacement sent . 's joke almost full cost , offered  % price , still joke considering priced prestige company . could understand beyond year ownership ,  months , insult . never purchase multimillion dollar company regards customer warranty ways . said $  $  fix issue offered shipping would felt disrespected , insist pay much $  already paying $ + headphones without sensibility . never would give money company ."
49,,1,"within  hours product ’ arrival , experienced intermittent bluetooth connection , defective button light , defective status light , intermittent active/quiet function , else squeezed “ passing ” , able listen  seconds iphone ’ music . never phone call testing work . love bose  pair headphones  years truly drove reason bought . return likely review competitor products ."
50,,1,"bought `` upgrade '' cheap soundcore headphones using years . right box randomly periodically drop audio signal transmit annoying static . searching online found issue several years . travel lot work , hoping would allow sleep better plane , randomly subjected loss signal accompanied static , going happen . audiobooks also unlistenable due defect . sorely disappointed , back using soundcore- issues using devices . n't seem affect everyone , surprised many people encounter issue- would thought bose would fixed ."
51,,1,originally qc several years loved . sadly one side headphones stopped working stores headphone repairs forced buy new pair headphones . bought loved qc . since buying headphones constantly disconnect phone . phone connected happening . buttons side also stop working . go pause music button work time . answering phone call . another downgrade qc could charge headphones use time use connected headphones wire . got rid function headphones charging use whatsoever . connectivity issues contacted amazon get replacement pair assuming must gotten defective ones . replaced new ones connectivity problems . decided stop fighting deal last several months gotten even worse . fed headphones bose . headphones price point issues
53,,1,"nd update : several weeks problems , headset acting . listening music suddenly says ’ ready pair another device , deletes device list useless below-stated reset . beyond frustrating purchase price . ’ , , recommend skip purchase unless like headaches.update : must firmware revision . experienced issue several weeks . seem working okay . sound quality great ! hoping bluetooth problems ’ resurface.thought bose reputable brand .. saved qc happy . decent audio quality , decent noise cancellation . quite year later , major bluetooth issues . keeps trying connect devices ’ using , forgets devices bricks . factory reset , delete bose account , forget iphone , try reconnect ’ brand new . work hour , cycle bs . tech support available . bose says warranty expired , less one year . ‘ solution ’ ship expense  weeks offer discount new pair… . would buy defective junk ? ! bose products . telling everyone know ."
54,,1,"product looks awesome = performance worse thing ever since , £ ’ waste moneymy £ headphones used gym better.bass : /treble : /random crackling /random white noise /quality : / ( yayaya ) comfort : / ( hurray , something good ) case : fancythis worse headphones , looks , perform good , miss old headphones.made look good sound good ."
55,,1,"faulty product returned ,  weeks later claimed “ lost ” ’ refund . beware ."
56,,1,"n't cancel noise . call bose , instructions included download app , discovered n't one thing bought . hear even quiet ambient room music right . tested near leaf blower simulate plane , quieter could still hear lot noise . disappointed . returned ."
57,,1,"moment switched notice constant pervasive white noise assume comes noise cancelling . actually connecting anything.can turn ? 's mode button noise cancelling headset lets switch modes . apparently app let 's 'm using windows dap , neither app available . let mode button turn ? frankly 'm shocked people would happy noise underpinning everything listen to.and , sure fine , . another added value item presnts real value personally . sound ... could n't believe listening bose headphones . sound hollow piercing matter eq settings audio enhancers use ,  minutes done them.all may due using app headphones rubbish without app ca n't get app headphones rubbish . audio technica ear buds better job blocking sound sounding crystal clear far richer depth ( somehow ) fuller soundstage . yeah okay cost almost twice bose bose sound worse chinese insert brand label headphones cost £.i could honestly say would  % reccomend someone sincerely dislike ."
58,,1,hi bought  bose headphones . one one birthday present mom . happy sound great noise canceling works . ’ know ones . every time connect malfunctioning headphones phone . someone calls ’ hear speak ! ask mom issue headphones . thing ! ! microphones work ! say one amazon . ’ happy sound great .
59,,1,"honestly ca n't believe bad headphones sound . generally like bass ear-shattering levels , headphones good bass treble cranked full basic eq . anytime song sounded like hiss rather crisp lyrics.noise cancellation worth either . took dog walk somewhat windy headphones seemed amplify wind noise quiet mode , switched aware mode wind noise n't bad . also option noise cancelation , get either aware , amplifies surrounding noises , quiet full noise cancellation.the bose music app complete joke update firmware switch synced devices , option adjust eq . tried using third part eq app helped bring back bass n't solve problem ear-piercing treble.these headphones worth price , perform way worse brand ones replaced cost half much . even compared stock speakers  ' ranger , sound horriable ."
60,,1,"'m second pair , first one changed bose battery would last around - hours thought might something wrong , second one sent 's , leads believe fault feature , guess - hours technically 'up  hours ' states description"
61,,1,"bose made disappointed . excited headphones find sound leaks headphones put half volume . another con , public transportation strong movement audio breaks ( issue ’ signal issue air hitting headphones ) .additional cons , little bass . record/ speak mic ’ little background noise voice barely heard.they comfortable . ’ basic headphones ’ match price ."
62,,1,"right hinge issues . cheaply made fragile materials plastics.very basic limited control settings app.the functionality great adjustability appl e products like airpods pro  airmax paired newer iphon set bar higher bose improve . , though 've owned prior generations bose anc ear headphones , product , , limited durable , continue faithful bose customer.this headphone cost  dollars compared others ."
63,,1,second pair bose q headphones . returned first pair audio kept cutting . ordered second pair experiencing problem . researched line definitely issue model . purchased bose products previously always happy . surprised disappointed bose . quality control ? returning well . recommendation : buy !
64,,1,"really wanted like new qc s , qc  many years worked absolutely fine . wanted upgrade new product however new product connect way iphone ipad . seems looked many threads different websites connected two devices means get continual blip outs bluetooth connectivity listening music , annoying . could resolved resets disconnecting reconnecting , apparently resolved connected one device time , however continually flick listening music iphone move watching programs ipad commuting . return item instead purchased airpod pro  absolutely fantastic product"
65,,1,"high expectations latest version bose anc headphones .. wow disappointed.the qcs simply n't produce acceptable sound . fidelity spectacularly imbalanced : supercharged mids highs render considerable library classic rock - well classical baroque recordings - unlistenable seconds . qc sound quality , word , shrill . vivaldi 's violin concerto split head open things . forget billy squire , pink floyd becomes tinny cheap . bill evans ' piano barely passable , good music needlessly neglected ? back back comparison ten+ year old qcs qcs yielded markedly better performance qcs . qcs much better balance , certainly audiophile quality , listenable hours . qc s returned asap.couple poor audio fidelity necessity app operate stupid things , well , sound bad , needlessly complicated boot . anyone really need online assistant lurking background pair headphones ? rather think . bose insists app , least give us ability fine tune sound ; oh , stuck head-splitting experiencebose - company known exceptional sound quality - needs get back basics well , sound quality ."
66,,1,plan use switching multiple devices (  devices ) ready pain . using physical button switch n't always work ; many times seems get 'stuck ' devices refuse switch . find turning devices would switch device want.really bad experience .
67,,1,"fully charged first use , headphones lasted  hours , advertised . sufficient get destination international flight.i previously used sony wh-xm , performed much better battery life noise canceling . return bose buy another pot sony"
72,,1,"decided splurge higher end better quality pair head phones purchase understand enthusiastic response ear pieces started peeling year , ear piece opened completely stopped working year half . could understand went cheaper lower quality product much higher expectation product , especially considering didnt use workout activity even tested quality ear pieces . , customer service say warranty good year cant anything - either wont recognize defective product quality really low . needless say , dont recommend product !"
